,date,error,fail,pass,skip
0,2015-12-01,0,0,0,0
1,2015-12-08,12,1,0,0
2,2015-12-15,17,1294,10,675
3,2015-12-22,17,1294,10,675
4,2015-12-29,18,1306,12,675
5,2016-01-05,18,1306,12,675
6,2016-01-12,18,1306,12,675
7,2016-01-19,18,1311,12,675
8,2016-01-26,18,1311,12,675
9,2016-02-02,18,1311,12,675
10,2016-02-09,18,1316,12,675
11,2016-02-16,18,1316,12,675
12,2016-02-23,18,1316,12,675
13,2016-03-01,18,1313,15,675
14,2016-03-08,17,1305,15,684
15,2016-03-15,17,1305,15,684
16,2016-03-22,17,1307,14,684
17,2016-03-29,17,1308,13,684
18,2016-04-05,17,1309,12,684
19,2016-04-12,17,1312,12,684
20,2016-04-19,17,1312,12,684
21,2016-04-26,17,1312,12,684
22,2016-05-03,17,1312,12,684
23,2016-05-10,22,1308,11,684
24,2016-05-17,22,1307,12,684
25,2016-05-24,22,1307,12,684
26,2016-05-31,22,1307,12,684
27,2016-06-07,22,1307,12,684
28,2016-06-14,22,1307,12,684
29,2016-06-21,22,1307,12,684
30,2016-06-28,22,1307,12,684
31,2016-07-05,22,1307,12,684
32,2016-07-12,22,1309,19,700
33,2016-07-19,22,1313,19,702
34,2016-07-26,22,1313,19,702
35,2016-08-02,24,1313,17,702
36,2016-08-09,24,1313,17,702
37,2016-08-16,24,1313,17,702
38,2016-08-23,24,1313,17,702
39,2016-08-30,24,1313,17,702
40,2016-09-06,24,1313,17,702
41,2016-09-13,24,1313,17,708
42,2016-09-20,24,1313,17,708
43,2016-09-27,24,1315,15,708
44,2016-10-04,24,1311,15,715
45,2016-10-11,24,1311,15,722
46,2016-10-18,24,1311,15,726
47,2016-10-25,14,1935,56,1111
48,2016-11-01,9,1954,57,1123
49,2016-11-08,9,1954,57,1123
50,2016-11-15,9,1954,57,1123
51,2016-11-22,9,1954,57,1123
52,2016-11-29,9,1954,57,1123
53,2016-12-06,9,1954,57,1123
54,2016-12-13,16,1991,70,1125
55,2016-12-20,9,1998,70,1125
56,2016-12-27,16,1991,70,1125
57,2017-01-03,16,1991,70,1125
58,2017-01-10,16,1991,70,1125
59,2017-01-17,52,2117,91,1132
60,2017-01-24,52,2117,91,1132
61,2017-01-31,52,2117,91,1132
62,2017-02-07,52,2117,91,1132
63,2017-02-14,52,2117,91,1132
64,2017-02-21,52,2117,91,1132
65,2017-02-28,44,2117,91,1140
66,2017-03-07,44,2117,91,1140
67,2017-03-14,44,2117,91,1140
68,2017-03-21,44,2117,91,1140
69,2017-03-28,44,2117,91,1140
70,2017-04-04,44,2117,91,1140
71,2017-04-11,44,2117,91,1140
