,NA,date,error,fail,pass,skip
0,3173,2015-12-01,0,0,0,0
1,3173,2015-12-08,12,1,0,0
2,1413,2015-12-15,14,1294,11,677
3,1413,2015-12-22,15,1293,11,677
4,1413,2015-12-29,15,1306,13,677
5,1413,2016-01-05,15,1306,13,677
6,1413,2016-01-12,24,1316,13,719
7,1413,2016-01-19,24,1321,13,719
8,1413,2016-01-26,24,1321,13,719
9,1413,2016-02-02,24,1321,13,719
10,1413,2016-02-09,24,1326,13,719
11,1413,2016-02-16,24,1328,11,719
12,1413,2016-02-23,24,1328,11,719
13,1413,2016-03-01,24,1326,13,719
14,1413,2016-03-08,27,1323,18,714
15,1413,2016-03-15,26,1324,18,714
16,1413,2016-03-22,47,1343,11,753
17,1413,2016-03-29,47,1343,11,753
18,1413,2016-04-05,41,1350,11,753
19,1413,2016-04-12,41,1350,11,753
20,1413,2016-04-19,41,1350,11,753
21,1413,2016-04-26,41,1350,11,753
22,1413,2016-05-03,41,1350,11,753
23,1413,2016-05-10,41,1350,11,753
24,1413,2016-05-17,41,1350,11,753
25,1413,2016-05-24,41,1350,11,753
26,1408,2016-05-31,41,1350,11,760
27,1408,2016-06-07,41,1341,11,769
28,1408,2016-06-14,41,1343,11,778
29,1408,2016-06-21,41,1343,11,785
30,1408,2016-06-28,41,1343,11,785
31,1408,2016-07-05,41,1343,11,785
32,1408,2016-07-12,41,1343,11,785
33,1408,2016-07-19,41,1343,11,785
34,1408,2016-07-26,41,1343,11,792
35,1408,2016-08-02,41,1343,11,792
36,1408,2016-08-09,41,1343,11,792
37,1408,2016-08-16,41,1343,11,792
38,1408,2016-08-23,41,1343,11,792
39,1408,2016-08-30,41,1343,11,792
40,419,2016-09-06,566,1650,11,1096
41,419,2016-09-13,883,1279,17,1144
42,410,2016-09-20,56,2070,17,1192
43,410,2016-09-27,55,2073,17,1190
44,410,2016-10-04,55,2074,14,1192
45,410,2016-10-11,55,2074,14,1192
46,410,2016-10-18,55,2074,14,1192
47,410,2016-10-25,55,2073,17,1190
48,383,2016-11-01,55,2092,17,1198
49,383,2016-11-08,55,2092,17,1198
50,383,2016-11-15,55,2093,14,1200
51,383,2016-11-22,55,2093,14,1200
52,383,2016-11-29,55,2093,14,1200
53,383,2016-12-06,55,2093,14,1200
54,383,2016-12-13,16,2093,25,1228
55,383,2016-12-20,16,2093,25,1228
56,383,2016-12-27,16,2093,25,1228
57,383,2017-01-03,17,2092,25,1228
58,383,2017-01-10,17,2092,25,1228
59,383,2017-01-17,22,2117,25,1218
60,383,2017-01-24,24,2117,25,1216
61,383,2017-01-31,24,2117,25,1216
62,383,2017-02-07,24,2117,25,1216
63,383,2017-02-14,22,2117,25,1218
64,383,2017-02-21,22,2117,25,1218
65,383,2017-02-28,22,2117,25,1218
66,383,2017-03-07,22,2117,25,1218
67,383,2017-03-14,22,2117,25,1218
68,383,2017-03-21,22,2117,25,1218
69,383,2017-03-28,22,2117,25,1218
70,383,2017-04-04,22,2117,25,1218
71,383,2017-04-11,22,2117,25,1218
72,383,2017-04-18,22,2117,25,1218
73,383,2017-04-25,22,2117,25,1218
74,382,2017-05-02,22,2117,25,1219
75,382,2017-05-09,22,2117,26,1218
